"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"CROMPTON",2178,8515,10693,9945.17586,397.0071,10342.18296,49762,251.4
"SHREECEM",1409,5934,7343,9791.17911,295.3699775,10086.5490875,15609,27800
"DELHIVERY",1139,4040,5179,9613.0102,381.25635,9994.26655,17577,400.9
"GODREJCP",1507,3129,4636,9367.5413,259.87815,9627.41945,25156,1236.9
"UNOMINDA",1412,4488,5900,9310.74364,238.073,9548.81664,15317,1182.1
"SYNGENE",1206,3225,4431,7625.3916,235.3997,7860.7913,18187,625.5
"TORNTPOWER",1279,4200,5479,7402.3329075,222.8362125,7625.16912,13504,1362.2
"PHOENIXLTD",1106,4694,5800,7256.925375,329.109515,7586.03489,15783,1857
"PPLPHARMA",1626,3854,5480,7150.462725,162.5990625,7313.0617875,20051,166.7
"ALKEM",965,2541,3506,7042.1921,155.45895,7197.65105,16779,5840
"SONACOMS",1165,6140,7305,6591.789925,587.460265,7179.25019,22523,460.05
"TIINDIA",1316,5678,6994,6226.86348,357.88086,6584.74434,29241,2340
"BLUESTARCO",891,1701,2592,5252.4227925,81.725735,5334.1485275,13033,1800
"NIFTYNXT50",227,556,783,3924.766495,73.9659625,3998.7324575,1405,68857.9
"BAJAJHLDNG",634,4335,4969,3397.282695,123.314965,3520.59766,12576,10689
"SAIL",437,359,796,3093.41498,97.13631,3190.55129,55475,149.25
"SAMMAANCAP",107,74,181,648.92719,6.19888,655.12607,40182,139.92
