"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"SUNPHARMA",3318,27923,31241,19744.29394,1752.43747,21496.73141,122645,1706.8
"AUROPHARMA",2989,8586,11575,19560.824745,1106.840405,20667.66515,50868,1190
"CROMPTON",4343,10710,15053,19246.96638,1198.8378,20445.80418,47851,245.22
"COALINDIA",3188,17005,20193,18410.575455,1784.74023,20195.315685,78322,429.55
"SOLARINDS",2739,12071,14810,18316.56987,1517.50174,19834.07161,35935,13322
"TVSMOTOR",2819,8722,11541,18361.985425,1105.121675,19467.1071,65440,3725.1
"BHARATFORG",2265,7788,10053,17890.6407,1506.86815,19397.50885,24506,1574.7
"OIL",2471,10567,13038,17370.41726,2010.59292,19381.01018,25176,498.95
"FEDERALBNK",1245,4759,6004,17891.874,937.104,18828.978,23245,286.85
"POLYCAB",1864,8253,10117,17619.6410875,1037.33475,18656.9758375,37415,7530
"TATAELXSI",3108,18170,21278,17006.95052,1640.34746,18647.29798,30215,5420
"ANGELONE",2507,13599,16106,16590.602525,1962.47825,18553.080775,28716,2637.7
"NBCC",2627,5590,8217,17320.18405,1099.99825,18420.1823,22411,100.91
"CHOLAFIN",1604,4541,6145,17353.0444375,684.4139375,18037.458375,32031,1730.3
"GAIL",3401,8180,11581,17252.13609,593.489925,17845.626015,60350,160.1
"POWERGRID",2893,28358,31251,15706.99391,2059.74896,17766.74287,93696,288.65
"BAJAJFINSV",3227,27673,30900,16237.286475,1506.349075,17743.63555,89407,2004.7
"ASIANPAINT",2638,25209,27847,16031.84155,1693.818425,17725.659975,104439,2425.6
"MARICO",1684,11498,13182,15029.18424,1400.10828,16429.29252,32859,743.25
"VOLTAS",2719,14348,17067,14468.5378875,1532.800275,16001.3381625,45803,1430.9
"SWIGGY",3392,12970,16362,14078.16332,1550.66834,15628.83166,35880,319.45
"EICHERMOT",2004,9552,11556,14512.24132,1092.1797,15604.42102,51595,7201
"BIOCON",1567,5266,6833,14347.809,1145.2935,15493.1025,30025,366.7
"ADANIENSOL",2152,4469,6621,14487.90921,793.318725,15281.227935,42541,1000.35
"TORNTPHARM",1522,1383,2905,15049.78135,198.146925,15247.928275,13229,3983.4
"YESBANK",2192,5550,7742,14660.4778,572.862,15233.3398,54587,21.44
"LAURUSLABS",1740,7530,9270,14297.45169,895.000615,15192.452305,42806,965.05
"LICHSGFIN",2838,4800,7638,14726.8058,422.447,15149.2528,48970,515.65
"WAAREEENER",2539,8554,11093,13727.8982575,1300.787565,15028.6858225,29404,3073.2
"KALYANKJIL",2978,13827,16805,13245.94655,1756.438175,15002.384725,53709,379.25
"GLENMARK",1930,4243,6173,14096.961675,572.9470125,14669.9086875,41094,1969.5
"DRREDDY",1748,10292,12040,13647.956375,971.686375,14619.64275,39249,1248.6
"PIDILITIND",1808,8900,10708,13355.5719,1009.73295,14365.30485,25058,1464
"SBICARD",2333,5754,8087,13876.56808,421.64952,14298.2176,42752,746.3
"MAXHEALTH",2375,10459,12834,12843.6122325,1110.773685,13954.3859175,43306,1032.3
"BAJAJ-AUTO",1764,12831,14595,12775.2544575,1170.7947075,13946.049165,68432,9659
"BAJAJHLDNG",1930,28937,30867,10785.924385,3140.24564,13926.170025,9374,10994
"AMBUJACEM",2259,8236,10495,12640.12869,743.98149,13384.11018,69348,528.6
"PAGEIND",2501,8876,11377,12727.4891265,629.9057865,13357.394913,27206,34635
